title,abstract,research_problem,summary,research_categories,citation_forecast,nicheness,novelty,public_relevance,research_impact
"Carbon Leakage in a European Power System with Inhomogeneous Carbon
  Prices","  Global warming is one of the main threats to the future of humanity and
extensive emissions of greenhouse gases are found to be the main cause of
global temperature rise as well as climate change. During the last decades
international attention has focused on this issue, as well as on searching for
viable solutions to mitigate global warming. In this context, the pricing of
greenhouse gas emissions turned out to be the most prominent mechanism: First,
to lower the emissions, and second, to capture their external costs. By now,
various carbon dioxide taxes have been adopted by several countries in Europe
and around the world; moreover, the list of these countries is growing.
However, there is no standardized approach and the price for carbon varies
significantly from one country to another. Regionally diversified carbon prices
in turn lead to carbon leakage, which will offset the climate protection goals.
In this paper, a simplified European power system with flexible carbon prices
regarding the Gross Domestic Product (GDP) is investigated. A distribution
parameter that quantifies carbon leakage is defined and varied together with
the base carbon price, where the combination of both parameters describes the
spatially resolved price distribution, i.e. the effective carbon pricing among
the European regions. It is shown that inhomogeneous carbon prices will indeed
lead to significant carbon leakage across the continent, and that coal-fired
electricity generation will remain a cheap and therefore major source of power
in Eastern and South-Eastern Europe - representing a potential risk for the
long term decarbonization targets within the European Union.
",['This research aims to address the issue of carbon leakage resulting from inconsistent carbon pricing across European countries and its impact on achieving decarbonization goals.'],"['Carbon pricing is a key mechanism to reduce greenhouse gas emissions', 'However, varying carbon prices across countries can lead to carbon leakage', 'This study models a European power system with flexible carbon pricing and shows inhomogeneous prices lead to significant carbon leakage and continued coal use in Eastern Europe.']","['Climate Change Economics', 'Energy Policy', 'Environmental Economics', 'European Studies']",50 - 100,4,6,8,7
"Exploring Mechanisms of Hydration and Carbonation of MgO and Mg(OH)2 in
  Reactive Magnesium Oxide-based Cements","  Reactive magnesium oxide (MgO)-based cement (RMC) can play a key role in
carbon capture processes. However, knowledge on the driving forces that control
the degree of carbonation and hydration and rate of reactions in this system
remains limited. In this work, density functional theory-based simulations are
used to investigate the physical nature of the reactions taking place during
the fabrication of RMCs under ambient conditions. Parametric indicators such as
adsorption energies, charge transfer, electron localization function,
adsorption/dissociation energy barriers and the mechanisms of interaction of
H2O and CO2 molecules with MgO and brucite (Mg(OH)2) clusters are considered.
The following hydration and carbonation interactions relevant to RMCs are
evaluated i) carbonation of MgO, ii) hydration of MgO, carbonation of hydrated
MgO, iii) carbonation of Mg(OH)2, iv) hydration of Mg(OH)2 and v) hydration of
carbonated Mg(OH)2. A comparison of the energy barriers and reaction pathways
of these mechanisms shows that the carbonation of MgO is hindered by presence
of H2O molecules, while the carbonation of Mg(OH)2 is hindered by the formation
of initial carbonate and hydrate layers as well as presence of excessed H2O
molecules. To compare these finding to bulk mineral surfaces, the interactions
of the CO2 and H2O molecules with the MgO(001) and Mg(OH)2 (001) surfaces are
studied. Therefore, this work presents deep insights into the physical nature
of the reactions and the mechanisms involved in hydrated magnesium carbonates
production that can be beneficial for its development.
",['This research aims to better understand the mechanisms and driving forces behind hydration and carbonation reactions in reactive magnesium oxide-based cement to improve its development for carbon capture applications.'],"['This study uses density functional theory simulations to investigate reactions in reactive magnesium oxide-based cement', 'It examines various hydration and carbonation interactions, comparing energy barriers and reaction pathways', 'The research provides insights into the physical nature of reactions in hydrated magnesium carbonates production.']","['Materials Science', 'Computational Chemistry', 'Environmental Engineering', 'Carbon Capture and Storage']",30 - 60,8,7,5,7
Machine Guided Discovery of Novel Carbon Capture Solvents,"  The increasing importance of carbon capture technologies for deployment in
remediating CO2 emissions, and thus the necessity to improve capture materials
to allow scalability and efficiency, faces the challenge of materials
development, which can require substantial costs and time. Machine learning
offers a promising method for reducing the time and resource burdens of
materials development through efficient correlation of structure-property
relationships to allow down-selection and focusing on promising candidates.
Towards demonstrating this, we have developed an end-to-end ""discovery cycle""
to select new aqueous amines compatible with the commercially viable acid gas
scrubbing carbon capture. We combine a simple, rapid laboratory assay for CO2
absorption with a machine learning based molecular fingerprinting model
approach. The prediction process shows 60% accuracy against experiment for both
material parameters and 80% for a single parameter on an external test set. The
discovery cycle determined several promising amines that were verified
experimentally, and which had not been applied to carbon capture previously. In
the process we have compiled a large, single-source data set for carbon capture
amines and produced an open source machine learning tool for the identification
of amine molecule candidates
(https://github.com/IBM/Carbon-capture-fingerprint-generation).
",['This research aims to speed up and improve the process of developing new materials for carbon capture technologies to help reduce CO2 emissions more efficiently and at scale.'],"['The paper presents a machine learning approach to accelerate the development of carbon capture materials', 'They combined lab experiments with ML modeling to identify promising amine molecules for CO2 absorption', 'The method showed good predictive accuracy and discovered new candidate molecules for carbon capture.']","['Machine Learning', 'Materials Science', 'Environmental Engineering', 'Carbon Capture Technology']",50 - 100,6,7,8,8
Selective molecular capture mechanism in carbon nanotube networks,"  Recent air pollution issues have raised significant attention to develop
efficient air filters, and one of the most promising candidates is that enabled
by nanofibers. We explore here selective molecular capture mechanism for
volatile organic compounds in carbon nanotube networks by performing atomistic
simulations. The results are discussed with respect to the two key parameters
that define the performance of nanofiltration, i.e. the capture efficiency and
flow resistance, which validate the advantage of carbon nanotube networks with
high surface-to-volume ratio and atomistically smooth surfaces. We also reveal
the important roles of interfacial adhesion and diffusion that govern selective
gas transport through the network.
",['This research aims to develop more efficient air filters using carbon nanotube networks to capture volatile organic compounds.'],"['The paper explores molecular capture in carbon nanotube networks for air filtration', 'Simulations examine capture efficiency and flow resistance', 'Interfacial adhesion and diffusion are key for selective gas transport.']","['Nanotechnology', 'Environmental Science', 'Materials Science', 'Chemical Engineering']",50 - 100,6,7,8,7
Single molecule capturer by doped monatomic carbon chain,"  The B-doped monatomic carbon chain has fine molecular capture ability to H2O
and especially to NO2, better than other doped monatomic carbon chains.At 300 K
and 1 atm, the capture probability of the B-doped monatomic carbon chain is
appreciable even in a NO2 concentration of 1 p.p.m., and the adsorbates'
influence on the quantum transport is notable for the detection. In contrast,
the pure monatomic carbon chain shows its invulnerability to N2, O2, H2O, NO2,
CO and CO2, and it is incapable for molecule capturing due to too low
adsorption ability and weak response on the quantum conductance. In the
investigation of these issues, a statistic mechanical model [EPL 94, 40002
(2011); Chin. Phys. Lett. 29, 2012 (080501)] was extended to predict the
adsorption and desorption rates of molecules on nanodevices. The theoretical
foundation of this model was further discussed and its accuracy was verified by
molecular dynamics simulations.
","['This research aims to develop more effective molecular sensors using doped carbon chains, particularly for detecting NO2 at low concentrations.']","['B-doped monatomic carbon chains show superior molecular capture ability for H2O and NO2 compared to other doped chains', 'Pure monatomic carbon chains are ineffective for molecule capturing', 'A statistical mechanical model was extended and verified to predict adsorption and desorption rates on nanodevices.']","['Nanotechnology', 'Materials Science', 'Chemical Sensing', 'Quantum Transport']",20 - 50,8,7,5,6
"A Two-Stage Online Algorithm for EV Charging Station Energy Management
  and Carbon Trading","  The increasing electric vehicle (EV) adoption challenges the energy
management of charging stations (CSs) due to the large number of EVs and the
underlying uncertainties. Moreover, the carbon footprint of CSs is growing
significantly due to the rising charging power demand. This makes it important
for CSs to properly manage their energy usage and ensure their carbon footprint
stay within their carbon emission quotas. This paper proposes a two-stage
online algorithm for this purpose, considering the different time scales of
energy management and carbon trading. In the first stage, the CS characterizes
the real-time aggregate EV power flexibility, in terms of upper and lower
bounds on the total charging power, by a Lyapunov optimization-based online
algorithm. In the second stage, the CS co-optimizes energy management and
carbon trading, with EV charging power chosen within the aggregate flexibility
region provided by the first stage. A generalized battery model is proposed to
capture the dynamic carbon footprint changes and carbon trading. A virtual
carbon queue is designed to develop an online algorithm for the second stage,
which can ensure the carbon footprint of CS be within its carbon emission quota
and its total operation cost is nearly offline optimal. Case studies validate
the effectiveness and advantages of the proposed algorithm.
",['This research aims to address the challenge of managing energy usage and carbon emissions in EV charging stations as EV adoption increases and charging power demands grow.'],"['This paper proposes a two-stage online algorithm for managing energy and carbon emissions in EV charging stations', 'The first stage characterizes real-time EV power flexibility, while the second stage co-optimizes energy management and carbon trading', 'The algorithm ensures carbon footprint stays within quotas while achieving near-optimal operation costs.']","['Electric Vehicle Technology', 'Energy Management', 'Carbon Emissions Reduction', 'Optimization Algorithms']",30 - 50,6,7,8,7
"Integration of hydrothermal liquefaction and carbon capture and storage
  for the production of advanced liquid biofuels with negative CO2 emissions","  The technical and economic feasibility to deliver sustainable liquid biocrude
through hydrothermal liquefaction (HTL) while enabling negative carbon dioxide
emissions is evaluated in this paper, looking into the potential of the process
in the context of negative emission technologies (NETs) for climate change
mitigation. In the HTL process, a gas phase consisting mainly of carbon dioxide
is obtained as a side product driving a potential for the implementation of
carbon capture and storage in the process (BECCS) that has not been explored
yet in the existing literature and is undertaken in this study. To this end,
the process is divided in a standard HTL base and a carbon capture add-on,
having forestry residues as feedstock. The Selexol technology is adapted in a
novel scheme to simultaneously separate the CO2 from the HTL gas and recover
the excess hydrogen for biocrude upgrading. The cost evaluation indicates that
the additional cost of the carbon capture can be compensated by revenues from
the excess process heat and the European carbon allowance market. The impact in
the MFSP of the HTL base case ranges from -7% to 3%, with -15% in the most
favorable scenario, with a GHG emissions reduction potential of 102-113%
compared to the fossil baseline. These results show that the implementation of
CCS in the HTL process is a promising alternative from technical, economic and
environmental perspective in future scenarios in which advanced liquid biofuels
and NETs are expected to play a role in the decarbonization of the energy
system.
",['This research aims to address the challenge of producing sustainable liquid biofuels while simultaneously achieving negative carbon dioxide emissions to mitigate climate change.'],"['This paper evaluates the feasibility of using hydrothermal liquefaction (HTL) with carbon capture and storage (CCS) to produce sustainable biocrude while achieving negative CO2 emissions', 'The process uses forestry residues as feedstock and adapts Selexol technology to separate CO2 and recover excess hydrogen', 'The study finds that implementing CCS in HTL is promising from technical, economic, and environmental perspectives, with potential for significant GHG emissions reduction.']","['Renewable Energy', 'Climate Change Mitigation', 'Biofuel Production', 'Carbon Capture and Storage']",30 - 60,7,8,6,7
Direct CO2 Electroreduction from Carbonate,"  The process of CO2 valorization, all the way from capture of CO2 to its
electrochemical upgrade, requires significant inputs in each of the capture,
upgrade, and separation steps. The gas phase CO2 feed following the
capture-and-release stage and into the CO2 electroreduction stage produce a
large waste of CO2, between 80 and 95% of CO2 is wasted due to carbonate
formation or electrolyte crossover, that adds cost and energy consumption to
the CO2 management aspect of the system. Here we report an electrolyzer that
instead directly upgrades carbonate electrolyte from CO2 capture solution to
syngas, achieving 100% carbon utilization across the system. A bipolar membrane
is used to produce proton in situ, under applied potential, which facilitates
CO2 releasing at the membrane:catalyst interface from the carbonate solution.
Using an Ag catalyst, we generate pure syngas at a 3 to 1 H2 to CO ratio, with
no CO2 dilution at the gas outlet, at a current density of 150 mA cm-2, and
achieve a full cell energy efficiency of 35%. The direct carbonate cell was
stable under a continuous 145 h of catalytic operation at ca. 180 mA cm-2. The
work demonstrates that coupling CO2 electrolysis directly with a CO2 capture
system can accelerate the path towards viable CO2 conversion technologies.
",['This research aims to improve the efficiency and reduce waste in CO2 capture and conversion processes by directly upgrading carbonate electrolyte to syngas without the intermediate step of releasing gaseous CO2.'],"['A new electrolyzer directly upgrades carbonate electrolyte from CO2 capture solution to syngas with 100% carbon utilization', 'The system uses a bipolar membrane to produce protons in situ, facilitating CO2 release at the membrane-catalyst interface', 'The electrolyzer generates pure syngas at high efficiency and demonstrates stable long-term operation.']","['Electrochemistry', 'Carbon Capture and Utilization', 'Renewable Energy', 'Materials Science']",50 - 150,7,8,6,7
"A Genetic Algorithm Trained Machine-Learned Interatomic Potential for
  the Silicon-Carbon System","  A linear regression-based machine learned interatomic potential (MLIP) was
developed for the silicon-carbon system. The MLIP was predominantly trained on
structures discovered through a genetic algorithm, encompassing the entire
silicon-carbon composition space, and uses as its foundation the Ultra-Fast
Force Fields (UF3) formulation. To improve MLIP performance, the learning
algorithm was modified to include higher spline interpolation resolution in
regions with large potential energy surface curvature. The developed MLIP
demonstrates exceptional predictive performance, accurately estimating energies
and forces for structures across the silicon-carbon composition and
configuration space. The MLIP predicts mechanical properties of SiC with high
precision and captures fundamental volume-pressure and volume-temperature
relationships. Uniquely, this silicon-carbon MLIP is adept at modeling complex
high-temperature phenomena, including the peritectic decomposition of SiC and
carbon dimer formation during SiC surface reconstruction, which cannot be
captured with prior classical interatomic potentials for this material.
",['This research aims to develop a more accurate and versatile interatomic potential for silicon-carbon systems that can model complex phenomena not captured by previous classical potentials.'],"['A machine learning interatomic potential (MLIP) was developed for silicon-carbon systems using linear regression and genetic algorithms', 'The MLIP accurately predicts energies, forces, and mechanical properties across the silicon-carbon composition space', 'The potential can model complex high-temperature phenomena that previous classical potentials could not capture.']","['Materials Science', 'Computational Chemistry', 'Machine Learning', 'Molecular Dynamics']",50 - 100,8,7,4,7
"Synthetic methane for closing the carbon loop: Comparative study of
  three carbon sources for remote carbon-neutral fuel synthetization","  Achieving carbon neutrality is probably one of the most important challenges
of the 21st century for our societies. Part of the solution to this challenge
is to leverage renewable energies. However, these energy sources are often
located far away from places that need the energy, and their availability is
intermittent, which makes them challenging to work with. In this paper, we
build upon the concept of Remote Renewable Energy Hubs (RREHs), which are hubs
located at remote places with abundant renewable energy sources whose purpose
is to produce carbon-neutral synthetic fuels. More precisely, we model and
study the Energy Supply Chain (ESC) that would be required to provide a
constant source of carbon-neutral synthetic methane, also called e-NG (electric
Natural Gas) or e-methane (electric methane), in Belgium from an RREH located
in Morocco. To be carbon neutral, a synthetic fuel has to be produced from
existing carbon dioxide (CO2) that needs to be captured using either Direct Air
Capture (DAC) or Post Combustion Carbon Capture (PCCC). In this work, we detail
the impact of three different carbon sourcing configurations on the price of
the e-methane delivered in Belgium. Our results show that sourcing CO2 through
a combination of DAC and PCCC is more cost-effective, resulting in a cost of
146 e/MWh for e-methane delivered in Belgium, as opposed to relying solely on
DAC, which leads to a cost of 158 e/MWh. Moreover, these scenarios are compared
to a scenario where CO2 is captured in Morocco from a CO2 emitting asset that
allows to deliver e-methane for a cost of 136 e/MWh.
",['This research aims to find cost-effective ways to produce and transport carbon-neutral synthetic fuels from remote renewable energy sources to meet energy demands while achieving carbon neutrality.'],"['The paper explores Remote Renewable Energy Hubs (RREHs) to produce carbon-neutral synthetic methane', 'It models an Energy Supply Chain from Morocco to Belgium, comparing different CO2 sourcing methods', 'Results show combining Direct Air Capture and Post Combustion Carbon Capture is most cost-effective for e-methane production.']","['Renewable Energy', 'Carbon Neutrality', 'Energy Supply Chain Management', 'Synthetic Fuel Production']",30 - 60,8,7,6,7
